Price,Area,Bedrooms,WC,Length,Width,Floors,has_facade,no_facade,Area_Total,Average_price
2.9,143.5,2.0,2.0,33.1,4.0,1.0,1,0,214.0,3.3495
0.85,60.0,3.0,2.0,4.0,15.0,1.0,1,0,60.0,3.3495
0.76,44.0,2.0,2.0,11.0,4.0,1.0,0,1,44.0,3.3495
0.6,100.0,2.0,2.0,5.3,14.0,1.0,1,0,100.0,3.3495
0.69,143.5,3.0,2.0,19.0,4.0,1.0,1,0,152.0,3.3495
5.5,143.5,3.0,5.043239547960619,23.0,8.0,2.0,1,0,368.0,3.3495
0.85,143.5,3.0,2.0,7.0,24.0,2.0,1,0,400.0,3.3495
0.69,143.5,3.0,2.0,20.0,4.0,1.0,1,0,150.0,3.3495
0.57,75.0,2.0,2.0,4.0,15.0,2.0,1,0,150.0,3.3495
0.68,143.5,2.0,2.0,16.0,4.0,1.0,1,0,160.0,3.3495
0.65,84.0,2.0,2.0,7.0,12.0,1.0,1,0,84.0,3.3495
0.62,120.0,2.0,2.0,20.0,6.0,1.0,0,1,120.0,3.3495
1.15,120.0,2.0,2.0,5.0,24.0,1.0,1,0,120.0,3.3495
0.85,64.0,4.0,4.0,16.0,4.0,1.0,1,0,64.0,3.3495
0.55,75.0,3.0,2.0,5.0,15.0,2.0,1,0,150.0,3.3495
5.7,48.0,4.0,3.0,12.0,4.0,3.0,1,0,144.0,3.3495
5.7,48.0,4.0,3.0,12.0,4.0,3.0,1,0,144.0,3.3495
0.55,44.0,3.0,2.0,6.2,7.0,2.0,1,0,88.0,3.3495
0.75,125.0,3.0,3.0,25.0,5.0,2.0,1,0,250.0,3.3495
0.67,44.0,2.0,3.0,5.0,8.8,2.0,1,0,88.0,3.3495
0.7,70.0,3.0,3.0,14.0,5.0,1.0,1,0,70.0,3.3495
2.15,24.0,2.0,3.0,4.0,6.0,1.0,0,1,24.0,3.3495
0.75,75.0,3.0,3.0,5.0,15.0,2.0,0,1,150.0,3.3495
2.75,50.0,2.0,2.0,11.11111111111111,4.5,2.0,1,0,100.0,3.3495
3.75,71.0,3.0,1.0,14.791666666666668,4.8,1.0,1,0,71.0,3.3495
1.5,60.0,3.0,2.0,4.0,15.0,2.0,1,0,120.0,3.3495
2.4,100.0,3.0,2.0,20.0,5.0,2.0,1,0,200.0,3.3495
9.9,143.5,3.0,4.0,18.0,10.0,1.0,1,0,180.0,3.3495
2.6,130.0,4.678582303544416,4.422441787034213,7.0,18.0,1.0,0,1,130.0,3.3495
1.95,115.0,4.0,2.0,5.0,21.0,2.0,1,0,230.0,3.3495
10.0,80.0,4.0,3.0,16.0,5.0,3.0,1,0,240.0,3.3495
16.2,143.5,4.0,7.071192915250995,20.0,22.5,3.0,1,0,486.0,3.3495
1.15,90.0,3.0,2.0,20.0,4.5,2.0,1,0,180.0,3.3495
6.5,80.0,3.0,3.0,5.0,16.0,3.0,1,0,240.0,3.3495
9.2,143.5,3.0,5.0,30.0,7.0,3.0,1,0,486.0,3.3495
16.2,143.5,4.0,3.0,10.0,20.0,3.0,0,1,486.0,3.3495
3.7,143.5,7.0,7.071192915250995,5.0,23.0,1.0,1,0,210.0,3.3495
7.6,143.5,3.0,2.0,30.0,10.0,3.0,1,0,486.0,3.3495
1.6,85.0,3.0,1.0,17.0,5.0,2.0,1,0,170.0,3.3495
2.1,85.0,4.0,3.0,17.0,5.0,3.0,1,0,255.0,3.3495
3.0,40.0,2.3333333333333335,1.8,9.756097560975611,4.1,1.0,1,0,40.0,6.094126923076923
0.025,80.0,3.062020785583973,2.1779331503923403,4.0,18.0,3.0,1,0,240.0,6.094126923076923
0.025,80.0,3.062020785583973,2.1779331503923403,4.0,18.0,3.0,1,0,240.0,6.094126923076923
5.38,80.0,4.0,4.0,20.0,4.0,3.0,1,0,240.0,6.094126923076923
6.5,68.0,4.0,5.0,8.0,8.5,4.0,1,0,272.0,6.094126923076923
3.3,36.0,3.0,2.044208863857736,6.0,6.0,2.0,1,0,72.0,6.094126923076923
4.15,55.0,2.559231017077136,1.9744925357117786,4.5,12.222222222222221,1.0,1,0,55.0,6.094126923076923
6.18,72.0,6.0,5.0,4.0,17.0,4.0,1,0,288.0,6.094126923076923
6.4,100.0,4.0,3.0,5.0,20.0,3.0,1,0,300.0,6.094126923076923
12.5,100.0,4.0,5.0,20.0,4.5,3.0,1,0,300.0,6.094126923076923
13.5,143.5,6.3433724575485515,4.619058886167189,21.0,14.0,3.0,1,0,486.0,6.094126923076923
4.6,58.0,2.688013606213407,2.1883790297336962,14.5,4.0,1.0,1,0,58.0,6.094126923076923
4.55,48.0,4.0,5.0,12.0,4.0,3.0,1,0,144.0,6.094126923076923
15.8,143.5,7.0,7.071192915250995,33.1,8.7,2.0,1,0,486.0,6.094126923076923
16.2,132.0,7.0,7.071192915250995,6.0,22.0,7.0,1,0,486.0,6.094126923076923
10.5,112.0,4.089551194061996,3.6436970961621897,14.0,8.0,2.0,1,0,224.0,6.094126923076923
4.85,63.0,4.0,3.0,4.0,16.0,3.0,1,0,189.0,6.094126923076923
3.5,50.0,2.0,2.0,12.0,4.0,2.0,1,0,100.0,6.094126923076923
4.7,48.0,4.0,5.0,12.0,4.0,3.0,1,0,144.0,6.094126923076923
4.5,54.0,3.5,4.5,4.0,13.5,3.0,1,0,162.0,6.094126923076923
4.7,70.0,3.0,2.0,14.0,5.0,2.0,1,0,140.0,6.094126923076923
11.5,60.0,4.0,5.0,4.0,15.0,3.0,1,0,180.0,6.094126923076923
4.35,64.0,2.4123958792714473,1.4709210020687493,4.0,16.0,1.0,1,0,64.0,6.094126923076923
5.2,46.0,3.0,3.0,12.0,3.8,3.0,1,0,138.0,6.094126923076923
9.6,84.0,4.0,3.0,20.0,4.2,3.0,1,0,252.0,6.094126923076923
5.2,55.0,4.0,3.3333238146411728,14.0,4.0,3.0,1,0,165.0,6.094126923076923
16.2,143.5,7.0,6.438961856995226,8.0,23.0,4.0,1,0,486.0,6.094126923076923
3.1,60.0,2.0,2.0,4.0,14.5,2.0,1,0,120.0,6.094126923076923
7.6,96.0,2.0,1.0,24.0,4.0,3.0,1,0,288.0,6.094126923076923
3.2,44.0,2.0,2.0,11.0,4.0,2.0,1,0,88.0,6.094126923076923
16.2,143.5,7.0,6.0,30.0,8.0,3.0,1,0,486.0,6.094126923076923
3.6,50.0,3.0,2.0,5.0,9.0,1.0,1,0,50.0,6.094126923076923
14.9,100.0,7.0,4.820994876349396,20.0,5.0,5.0,1,0,486.0,6.094126923076923
7.9,70.0,3.8365517593418486,3.6011612125415158,17.5,4.0,3.0,1,0,210.0,6.094126923076923
16.2,143.5,7.0,7.071192915250995,14.0,24.0,1.0,1,0,486.0,6.094126923076923
9.68,86.0,7.0,6.0,4.0,21.0,6.0,1,0,486.0,6.094126923076923
7.8,80.0,3.5456093242368025,3.2666211329327095,19.5,4.1,1.0,1,0,80.0,6.094126923076923
7.5,80.0,3.685223644004737,3.423004291033082,20.0,4.0,2.0,1,0,160.0,6.094126923076923
0.03,143.5,7.0,7.071192915250995,7.0,21.0,4.0,1,0,486.0,6.094126923076923
14.5,126.0,7.0,6.742863776278646,25.2,5.0,3.0,1,0,378.0,6.094126923076923
